,Fid,Area,WE_mm_ha_yr
327,327.0,0.013655500000000001,58680.94581670387
328,328.0,0.01712831,46783.2293787303
329,329.0,0.11257541000000001,7044.762652874192
330,330.0,0.29269751000000005,2737.698915170135
331,331.0,0.04949631,0.0
332,332.0,0.54421893,0.0
333,333.0,0.052166750000000005,7462.572124964655
334,334.0,0.07217187,0.0
335,335.0,0.71869229,0.0
336,336.0,0.01441751,0.0
337,337.0,0.022513980000000003,0.0
338,338.0,0.6867897900000001,0.0
339,339.0,0.15759802,0.0
340,340.0,0.14379455000000002,0.0
341,341.0,0.04502802,0.0
342,342.0,0.014417470000000002,61515.409624573505
343,343.0,0.14950148,0.0
344,344.0,0.03361982,9575.94016862672
345,345.0,0.045028,0.0
346,346.0,0.035233350000000004,9137.404896213387
347,347.0,0.36022240000000005,893.7294982210988
348,348.0,0.09005566999999999,9829.865941811328
349,349.0,0.14762572000000002,5996.483291664892
350,350.0,0.01556753,20680.312470892943
351,351.0,0.00018135,4881362.908188585
352,352.0,0.08149740000000001,0.0
353,353.0,0.4552973,0.0
354,354.0,0.01441746,0.0
355,355.0,0.038722370000000006,0.0
356,356.0,0.03038922,0.0
357,357.0,0.02251394,0.0
358,358.0,1.15655657,0.0
359,359.0,0.6537149500000001,0.0
360,360.0,0.5802484800000001,0.0
361,361.0,0.01541489,22997.012485979463
362,362.0,0.022513820000000004,0.0
363,363.0,0.04999725000000001,0.0
364,364.0,0.015414830000000001,0.0
365,365.0,0.014417410000000002,0.0
366,366.0,0.045027670000000006,0.0
367,367.0,0.022513820000000004,0.0
368,368.0,0.02251391,0.0
369,369.0,0.01541489,0.0
370,370.0,0.022513850000000002,0.0
371,371.0,0.13508311,0.0
372,372.0,0.01541489,0.0
373,373.0,0.02251391,0.0
374,374.0,0.01441746,0.0
375,375.0,0.14971464,0.0
376,376.0,0.06754171,4766.5566181253025
377,377.0,0.28779905,0.0
378,378.0,0.32087135,0.0
379,379.0,0.30769915999999997,0.0
380,380.0,0.02251462,0.0
381,381.0,0.6082775300000001,0.0
382,382.0,0.16525391,0.0
383,383.0,2.4625484,0.0
384,384.0,0.03088234,0.0
385,385.0,0.02063442,0.0
386,386.0,0.04354217,0.0
387,387.0,0.01342391,0.0
388,388.0,0.011298810000000001,0.0
389,389.0,0.016573650000000002,0.0
390,390.0,0.07678787999999999,0.0
391,391.0,0.014417400000000002,0.0
392,392.0,0.02022309,0.0
393,393.0,0.01625985,0.0
394,394.0,0.03716499,0.0
395,395.0,2.05109309,0.0
396,396.0,0.09578161,0.0
397,397.0,0.06714058,0.0
398,398.0,0.01004869,0.0
399,399.0,0.06608398,0.0
400,400.0,0.15662296,0.0
401,401.0,0.55296605,0.0
402,402.0,0.01037284,0.0
403,403.0,0.06001435000000001,0.0
404,404.0,0.38760407,814.072073598195
405,405.0,0.7310169799999999,0.0
406,406.0,0.06754148,0.0
407,407.0,0.022513820000000004,0.0
408,408.0,0.02251384,0.0
409,409.0,0.11256917000000001,0.0
410,410.0,4.1971009200000005,0.0
411,411.0,0.045027550000000006,0.0
412,412.0,0.47709268000000005,0.0
413,413.0,0.02251378,0.0
414,414.0,0.015414800000000001,0.0
415,415.0,0.02309432,0.0
416,416.0,0.04502743,0.0
417,417.0,0.08497287999999999,0.0
418,418.0,0.12779387,0.0
419,419.0,0.22574550000000002,0.0
420,420.0,0.25165846000000003,0.0
421,421.0,0.030493000000000003,0.0
422,422.0,0.12822037,0.0
423,423.0,0.14670299,0.0
424,424.0,0.04502734,0.0
425,425.0,0.34484395,2550.8535289657825
